"Country","Land"
"State/Province","Provincie"
"Please select region, state or province", "Selecteer een gebied, staat of provincie a.u.b."
"Zip/Postal Code","Postcode"
"House Number","Huisnummer"
"Extension","Toevoeging"
"Extra","Extra (appartement, poli, postvak, etc.)"
"Street Address", "Adres"
"City","Plaats"
"Check that the Zip/Postal Code and the House Number correctly entered!","Controleer of u de postcode & het huisnummer correct zijn ingevoerd!"
"Loading...","Bezig met laden..."
"Exclude/include fields","Adres velden"
"Enable Extra field","Activeer de vierde adresregel"
"Write exceptions to the exceptions log file","Schrijf uitzonderingen op de uitzonderingen logbestand"
"Client ID","Client ID"
"Secure Code","Secure Code"
"Domain","Domein"
"See http://www.postcodeservice.nl for more details", "Ga voor meer informatie naar www.postcodeservice.nl"
"Here you can make changes to which fields the user is presented with in a checkout page", "Hier kun je het 4de adres veld activeren of deactiveren (Deze velden komen overeen met de 4 adresregels van Magento)"
"File is located in {{base_dir}}/var/log","Bestand bevindt zich in {{base_dir}}/var/log"
